tRF,LA2CN4_1,LA2CN4_2,LA2CN4_3,LA2CN4_4,LA2CO4_1,LA2CO4_2,LA2CO4_3,LA2CO4_4,LA5CN4_1,LA5CN4_2,LA5CN4_3,LA5CN4_4,LA5CO4_1,LA5CO4_2,LA5CO4_3,LA5CO4_4
tRF-16-026ZEDD,4.326075268,8.676684892,2.384297303,3.374739947,1.197500599,3.603416526,3.662029723,3.100702904,1.165944322,0.697397621,0.79290455,0.810107899,0.879531181,1.656832967,0,0.66420251
tRF-16-04SXQ3E,0,0,0,0,0,0,0,0,0,0.697397621,0,1.620215797,0.879531181,0,0,1.328405019
tRF-16-078SUXD,0,0,0,1.124913316,0,0,1.220676574,0,0,0,0,0.810107899,0,0,0,0
tRF-16-07QSNHD,4.326075268,2.892228297,2.384297303,5.624566578,13.17250659,8.407971893,9.765412594,3.100702904,3.497832967,3.486988107,2.378713649,3.240431594,7.915780625,8.284164836,4.498424572,5.977822586
tRF-16-085830E,0,0,0,0,1.197500599,0,0,0,0.582972161,0.697397621,0,0,0.879531181,0,0,0.66420251
tRF-16-08F4BDD,20.18835125,17.35336978,14.30578382,15.74878642,11.97500599,26.42505452,14.64811889,21.70492033,4.080805128,0.697397621,2.378713649,2.430323696,1.759062361,1.656832967,0.899684914,1.992607529
tRF-16-08P2B5D,2.884050179,5.784456595,1.192148651,3.374739947,3.592501798,2.402277684,1.220676574,6.201405808,0.582972161,0.697397621,3.171618199,1.620215797,1.759062361,0.828416484,2.699054743,3.985215058
tRF-16-08P2F5D,33.16657706,33.26062542,23.84297303,26.99791957,34.72751738,38.43644294,43.94435667,52.71194936,16.32322051,18.13233816,27.75165924,24.30323696,32.54265368,30.65140989,36.88708149,33.21012548
tRF-16-08Q2B5D,3551.707795,4037.550703,3862.561631,3391.613647,3285.941645,3795.59874,3973.302249,4524.959104,1132.131937,1125.599761,1163.190974,1214.35174,1717.724396,1665.945548,2074.673413,1710.985665
tRF-16-08R959D,2.884050179,1.446114149,4.768594606,3.374739947,5.987502997,6.005694209,7.324059446,3.100702904,1.165944322,0.697397621,0,1.620215797,0,0,0.899684914,0.66420251
tRF-16-08R9D9D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0DFKN50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828416484,0,0
tRF-16-0HJBRRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66420251
tRF-16-0HLBRRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0HLBRRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
