tRF,01-LA2CO2-1_S1_full,02-LA2CO2-2_S2_full,03-LA2CO2-3_S3_full,04-LA2CO2-4_S4_full,05-LA2CN30-1_S5_full,06-LA2CN30-2_S6_full,07-LA2CN30-3_S7_full,08-LA2CN30-4_S8_full,09-LA2CN60-1_S9_full,10-LA2CN60-2_S10_full,11-LA2CN60-3_S11_full,12-LA2CN60-4_S12_full,13-LA2CN2-1_S13_full,14-LA2CN2-2_S14_full,15-LA2CN2-3_S15_full,16-LA2CN2-4_S16_full,17-LA2CO4-1_S17_full,18-LA2CO4-2_S18_full,19-LA2CO4-3_S19_full,20-LA2CO4-4_S20_full,21-LA2CN4-1_S21_full,22-LA2CN4-2_S22_full,23-LA2CN4-3_S23_full,24-LA2CN4-4_S24_full,25-LA5CO2-1_S25_full,26-LA5CO2-2_S26_full,27-LA5CO2-3_S27_full,28-LA5CO2-4_S28_full,29-LA5CN30-1_S29_full,30-LA5CN30-2_S30_full,31-LA5CN30-3_S31_full,32-LA5CN30-4_S32_full,33-LA5CN60-1_S33_full,34-LA5CN60-2_S34_full,35-LA5CN60-3_S35_full,36-LA5CN60-4_S36_full,37-LA5CN2-1_S37_full,38-LA5CN2-2_S38_full,39-LA5CN2-3_S39_full,40-LA5CN2-4_S40_full,41-LA5CO4-1_S41_full,42-LA5CO4-2_S42_full,43-LA5CO4-3_S43_full,44-LA5CO4-4_S44_full,45-LA5CN4-1_S45_full,46-LA5CN4-2_S46_full,47-LA5CN4-3_S47_full,48-LA5CN4-4_S48_full
tRF-16-026ZEDD,1,4,8,5,13,7,6,7,4,6,7,2,4,1,5,10,1,3,3,3,3,6,2,3,1,3,0,2,4,2,0,3,4,4,4,1,4,5,5,1,1,2,0,1,2,1,1,1
tRF-16-04SXQ3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,2,0,1,0,0,0,2,0,0,1,1,0,0,2,0,1,0,2
tRF-16-078SUXD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tRF-16-07QSNHD,2,1,1,2,3,0,0,2,2,2,3,2,0,1,2,4,11,7,8,3,3,2,2,5,10,7,5,10,9,16,7,5,6,2,8,13,12,5,4,2,9,10,5,9,6,5,3,4
tRF-16-085830E,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
tRF-16-08F4BDD,8,14,11,11,13,9,9,9,6,7,3,5,8,5,10,16,10,22,12,21,14,12,12,14,3,4,2,4,7,8,3,7,4,5,4,2,6,6,10,3,2,2,1,3,7,1,3,3
tRF-16-08P2B5D,3,2,1,3,4,6,2,3,4,4,3,3,1,3,2,5,3,2,1,6,2,4,1,3,5,3,2,0,5,7,2,3,2,0,1,2,1,1,3,1,2,1,3,6,1,1,4,2
tRF-16-08P2F5D,27,31,19,22,32,40,27,25,31,25,24,41,28,34,21,28,29,32,36,51,23,23,20,24,44,57,27,52,67,58,41,48,33,33,54,34,37,40,30,32,37,37,41,50,28,26,35,30
tRF-16-08Q2B5D,2125,2896,2148,2821,3128,3204,2787,2966,2839,3449,2851,3247,3155,3813,2729,3145,2744,3160,3255,4378,2463,2792,3240,3015,2375,2378,1288,2495,3174,3197,2338,2718,2144,2167,2699,2704,2017,2207,1933,1810,1953,2011,2306,2576,1942,1614,1467,1499
tRF-16-08R959D,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,5,6,3,2,1,4,3,1,0,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,1,2,1,0,2
tRF-16-08R9D9D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0DFKN50,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
tRF-16-0HJBRRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tRF-16-0HLBRRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0HLBRRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tRF-16-0L9RQ40,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,2,0,2,1,4,2,1,5,5,1,6,2,4,1,2,1,0,2,2,1,1,0,1,2,0,3,0
tRF-16-0MXZU50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,1,1,0
tRF-16-0NL7250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0NL725B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0P5830E,28,36,18,56,52,41,57,51,46,30,30,42,31,38,41,47,11,15,12,24,16,15,19,13,56,91,35,63,112,149,74,88,77,76,90,106,130,163,135,176,32,30,47,50,96,74,66,55
tRF-16-0PRMQ0E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,3,1,1,1,5,6,2,0,2,2,2,3,1,2,1,4,4,1,5,1,0,2,2
tRF-16-0RSSX7D,0,1,1,0,0,0,0,1,2,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,2,2,2,1,1,1,3,1,0,1,4,1,0,0,0
tRF-16-0RYNURD,1,0,1,1,0,0,2,0,0,0,0,1,1,0,1,0,0,1,2,2,0,0,2,0,1,0,1,1,2,2,0,1,1,1,3,1,0,1,3,3,0,0,0,0,0,0,0,1
tRF-16-0UFMQKE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
tRF-16-0UQ2B5D,1,4,4,2,2,2,2,3,3,3,1,6,6,6,4,6,2,4,4,4,5,3,3,1,4,2,0,7,4,4,0,2,1,2,2,4,5,0,0,2,1,2,4,1,2,1,2,1
tRF-16-0VL8K80,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-113KYOE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-113KYUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-113KYUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1293WEE,11,22,8,17,27,21,6,20,11,8,5,12,1,20,18,20,7,5,4,15,3,11,9,12,12,13,1,15,22,24,14,10,11,11,11,13,14,23,14,16,3,4,5,6,9,5,10,6
tRF-16-12Z4R90,1,0,1,1,0,0,0,1,1,0,0,0,0,1,2,0,1,2,5,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,0,2,0,1,1,1,2,2,1
