Gene,Score
DNM1L,0.999523140227851
CCDC110,0.999437779675137
RGS7BP,0.999124052190378
ZNF429,0.999059136383792
IL1RAP,0.99813917661053
PIGN,0.99789692239942
RNF114,0.99625612094978
SNX14,0.995493802798668
MUSK,0.995039478727873
MCM2,0.994766040520728
AP2M1,0.994361008962984
CERS6,0.991115618019522
USP28,0.990164693203943
ZNF213,0.990040074509586
NRP1,0.988908517547057
VTI1A,0.988731178487551
CUL3,0.986647675873338
CCDC173,0.986320188928741
SLC35B1,0.986038276523336
TRIM3,0.985969943746677
SULT1C2,0.985950948722838
TSPAN16,0.985691229935315
RAB6A,0.985131954108778
CCDC6,0.984571223825452
VSIG10,0.981478702063902
LRRC28,0.981362683929381
ATL2,0.980641688998493
CUL2,0.979546241137747
BPIFB6,0.979368775049722
CDK12,0.977897194757364
AUTS2,0.977400194613691
OTUD7A,0.976250692085301
TEX26,0.975980712031323
TYW3,0.975807329777201
SALL2,0.975629864530238
GABRA4,0.975281548595025
ZNF394,0.975045947562499
GUCY1B3,0.974904652299794
PIEZO2,0.974309978238658
GRM8,0.974198920160213
WNT2B,0.973427195028571
MED12,0.972188424581604
TMA16,0.970357874587285
SPRR2F,0.970043819261818
EPAS1,0.969848478239521
CYP4F12,0.967829572946768
ZBED3,0.96729469078607
LCLAT1,0.966959773320648
SMCHD1,0.965692623076814
MAP3K10,0.96343857534175
ZNF468,0.963291624996068
LCN1,0.960989023726409
ZNF233,0.959201216430908
ZNF225,0.958475669340293
RBM5,0.958457659583142
SH3PXD2B,0.957365377511431
PCNXL2,0.956545004191275
RABL2A,0.956495557901436
C18orf25,0.956230511123737
KRTAP9-7,0.953048766528577
LHCGR,0.953045262371158
POU6F2,0.951639107561744
CACUL1,0.951604306702282
HNRNPA2B1,0.951256190047154
KIF3B,0.9510677240747
LRRC63,0.951054269412936
KRTAP9-3,0.951015596391804
TRIM52,0.950088288377788
CAMKK2,0.949851584186616
DLEU7,0.948446494102687
KRTAP9-8,0.948000208571751
APEH,0.947160352102549
ZBTB33,0.947024157147371
MMP2,0.946949597030385
UHRF1BP1,0.946864713209902
CR1,0.944517549655045
USO1,0.943197864939257
KRTAP9-9,0.942822919592804
OSBPL9,0.940804800245364
PURB,0.940510922084223
PIDD,0.939933116711121
ZNF280B,0.939397577518884
EBF3,0.939108358174828
KRTAP9-6,0.938512188671863
RP11-123K3.4,0.938189757973023
NEUROD1,0.937323610251202
CCDC180,0.936774615612889
SLC7A7,0.935000076828657
KIF15,0.933922603738709
CASP8,0.933805984340946
CENPV,0.933726643051334
RER1,0.933605295588511
CCDC88C,0.932004891549724
SH3BP1,0.931001003659036
WDR65,0.930727577610603
ATP7A,0.930574460160049
BBS4,0.930207671231236
LIMD1,0.929324127817708
GTDC1,0.929230337088359
STK38,0.929052680356675
ZNF226,0.927455022125698
MAGEA10,0.927090866047366
PRDM6,0.926739329728727
ERP27,0.926626187943568
MLK4,0.92598507929963
BPY2B,0.925644335416571
DYRK2,0.925624299973272
