Gene,Score
CTTNBP2,0.999996976067532
MED26,0.999898226175174
PCGF2,0.999855048133153
ANO3,0.999728236888263
CACNA2D1,0.99930377675601
NPAS3,0.999269917138984
UPF2,0.998903651803186
ZBTB34,0.998093533404068
EIF5,0.997943087475745
ACVR2B,0.99794205893654
PPP6C,0.997361995579689
NEIL1,0.997287936099499
FGF2,0.997178394224441
ALB,0.996802886616901
MORC4,0.996295886083456
ZHX1,0.996028433094382
COBLL1,0.995678147715168
NPEPPS,0.995605963510578
RBM24,0.995562940180986
DICER1,0.995325271933052
ADCYAP1,0.994065194279703
ZFPM2,0.993826033050468
SLC20A2,0.99337835921876
ATP13A3,0.992809909259443
FAM103A1,0.992598460863864
ASH1L,0.992071295574571
DVL1,0.991811654786437
EDA,0.991772656639001
IPO4,0.990949713718473
CLOCK,0.990812326868172
LY9,0.990737906441471
CXorf23,0.99039689100026
CASK,0.990314865501134
PDZD8,0.990202918359682
LCOR,0.989989083186451
USP14,0.989982721224083
PTPN4,0.989849830833133
ZNF654,0.989491499598943
CHRD,0.989442676220159
ENSA,0.988622111016616
GFAP,0.988355867057322
OTUD4,0.987234578010536
CCNE1,0.986533657050065
SMEK2,0.986287111828006
DESI1,0.986186754584526
ZNRF2,0.986012929924397
AGO1,0.984394791344368
CDK6,0.983777538780689
NSG1,0.983604705696476
AQP11,0.983530894339172
YWHAH,0.983437185676798
PPP6R2,0.983356373481705
GABRG2,0.983211463701546
ETNK1,0.982260283519764
EIF2S3L,0.981867561264307
POU2F1,0.981697024316268
FAM115C,0.981594904722732
TUBA1C,0.980901569303074
SNRK,0.980770631971301
FGFRL1,0.980755460681501
SGMS2,0.980666071541051
UMOD,0.979921849041399
TLK1,0.979683570083898
ATXN7L1,0.979153585084862
ARMC1,0.978916431586467
EVA1A,0.978871528659181
RARS,0.978619475768312
NEK10,0.978412053188058
SALL1,0.977832462189904
EIF4B,0.977820383442776
WNK3,0.977762901976115
UNC80,0.977400276534306
DCTN2,0.977115596410867
FERMT2,0.977016768162493
MAP3K4,0.976816690571391
JAKMIP2,0.975279891896393
N4BP1,0.97473265178232
PTPLB,0.974243415038867
RNF38,0.974242075372655
