Gene,Score
PEG3,0.995289858718499
BAALC,0.994316504143863
ZNF474,0.988012291684092
KIAA1549,0.986674102535044
AGO4,0.974785848388806
AFF4,0.968197481426689
TMEM260,0.965564290390828
PTPRZ1,0.960081953630766
SPDYA,0.955043730871701
ACVR2B,0.950426721139974
TM2D1,0.949445980593654
CCDC132,0.946071532573796
KHDRBS1,0.945156902854722
GMEB1,0.941093100194815
TSPAN12,0.93874483594642
RBX1,0.93220679155219
GRIA2,0.931191966331806
SESN3,0.928124067550164
POF1B,0.91500137824207
OSTN,0.906307508963141
C4orf36,0.89440846038342
ARHGEF28,0.892466484129084
DCAF10,0.888134835976979
MMP16,0.8819443577123
FRAS1,0.880864702452704
NPHP3,0.876190593760173
PLCL1,0.873161603180782
REPS2,0.869234343172538
PTGER3,0.867111133348001
PPP1R3A,0.865180720840027
VNN3,0.86487380513023
COL2A1,0.863153276091894
VWC2,0.861826808404162
TIMD4,0.857164413932862
PIGP,0.850384481579481
ZNF282,0.848142908083401
INTS8,0.847060176635177
ANKRD7,0.842375184481312
PTEN,0.83193158345963
GPR22,0.830332879558827
COX7A1,0.829054315522712
NPAP1,0.828419644137187
ADAM18,0.825578323240211
TAOK2,0.821960338250444
LOH12CR2,0.821835919684562
TSPAN9,0.817475292858101
ITGBL1,0.817226500754661
LIN28B,0.816312805737564
ZCCHC12,0.816291134615656
C3orf30,0.812292882393942
ACSM3,0.811596168639983
EZH2,0.811126327380863
CCNL1,0.80719029392781
STXBP5L,0.807103479600745
GRM8,0.805896230048197
DYNC1LI2,0.803002088815538
GUCY1A2,0.800999117246555
