,Dementia_n,Dementia_p,Dementia_l
89,RORA,1.9891900890865445e-08,0.12769215
221,NGF,2.4941393020133945e-05,0.33532155
497,LIFR,0.002907193267460313,0.17077191
663,BMP6,0.013294534150695552,0.22132681
724,BMPR1A,0.01942075403673091,0.114158444
920,NTRK2,0.04452459922987839,0.060995765
1549,STAT5B,0.2101341814000371,0.07355688
2124,NR1D1,0.43874605292073127,0.15806979
2138,NR1D2,0.44335366089441386,0.07241682
2308,IL6R,0.5189586438006712,0.29073775
2841,ACHE,0.7740429871004467,0.14536619
2971,ARNTL,0.8270956794036063,0.034662142
3127,KLF16,0.8988693380801456,0.3271105
3265,CNTFR,0.9527352015801841,0.052044038
3310,RORB,0.9701305503796035,0.14239751
3707,BMPR2,1.0,0.048614834
3823,IL6ST,1.0,0.049774382
4899,CLOCK,1.0,0.036218356
6218,SMAD2,1.0,0.0047349967
6535,BMP1,1.0,0.2822383
7617,KLF7,1.0,-0.0033438618
8312,STAT5A,1.0,0.05323918
8357,BMP3,1.0,-0.17070515
9340,BMP2K,1.0,0.0070633697
9723,STAT1,1.0,-0.04897115
11408,LHX6,1.0,0.100032955
11560,BMP8A,1.0,-0.08183149
11641,PRIMA1,1.0,0.08919826
11697,CNTF,1.0,0.011310484
12183,BMP8B,1.0,0.5293829
12267,GBX1,1.0,0.91770786
12810,BMP5,1.0,1.2766929
13199,KLF4,1.0,18.490211
15322,RORC,1.0,1.8936708
15729,IL6,1.0,16.613567
16628,NKX2-1,1.0,0.19895436
17813,BCHE,1.0,0.027399648
18028,SLC5A7,1.0,0.7173601
18473,LHX8,1.0,1.7903303
19241,LIF,1.0,0.0
20059,BMP10,1.0,0.0
20173,BMP15,1.0,0.0
20674,GBX2,1.0,0.0
21933,SLC18A3,1.0,0.0
23861,NGFR,1.0,-3.4253368
26621,CHAT,1.0,-2.1363208
28222,BMP4,1.0,-0.31221727
28682,STAT3,1.0,-0.016321022
29249,BMP2,1.0,-0.09483775
29734,NTRK1,1.0,-0.41063127
29904,BMP7,1.0,-0.2586144
31553,BMPR1B,1.0,-0.2459522
31800,BDNF,1.0,-0.40313137
31985,NPAS2,1.0,-0.007605482
32392,PCYT1A,1.0,-0.053690355
35899,COLQ,0.1852318199369725,-0.088175826
36168,ARNTL2,0.02859479699772776,-0.3521792
36550,BMPER,1.4885988776317254e-09,-0.39951843
