,Dementia_n,Dementia_p,Dementia_l
127,RORA,2.568886146268877e-07,0.13173172
179,NPAS2,1.6011697482664974e-05,0.1406319
406,NGF,0.01602840088398419,0.42095682
653,RORB,0.18607370786138872,0.44727668
991,LIFR,0.7132431578542844,0.12826878
995,IL6R,0.715889772825333,0.4321252
1154,BMPR2,0.9352149835713606,0.009072161
2106,KLF16,1.0,0.43664533
2120,BCHE,1.0,0.4005948
2179,KLF7,1.0,0.085737
2380,PRIMA1,1.0,0.5254497
2518,BMP1,1.0,0.58877796
2658,NTRK2,1.0,0.0014104391
2839,ACHE,1.0,0.19792093
3314,BMPR1B,1.0,0.26502502
3588,BMP7,1.0,0.38443786
3636,BMP8A,1.0,0.28893164
3746,BMP3,1.0,0.18374082
6814,BDNF,1.0,0.08039841
6870,CHAT,1.0,0.25603172
8344,LHX8,1.0,1.1556638
8915,SLC18A3,1.0,17.131733
9560,KLF4,1.0,1.9896947
13584,BMP10,1.0,0.0
13598,IL6,1.0,0.0
14732,BMP15,1.0,0.0
16236,GBX2,1.0,-15.912323
16591,LIF,1.0,-16.846909
17279,NGFR,1.0,-1.9706749
18538,NTRK1,1.0,-0.021441963
18685,BMP5,1.0,0.12114909
20050,SLC5A7,1.0,-3.0718367
20149,LHX6,1.0,0.16254632
20308,STAT3,1.0,0.067903966
20634,RORC,1.0,-1.5877775
21092,NKX2-1,1.0,-18.743568
21572,BMP4,1.0,-2.0356307
22507,ARNTL,1.0,0.038406998
23115,GBX1,1.0,-1.3533605
23581,CNTF,1.0,-0.37990108
24739,BMP8B,1.0,-1.0171903
25624,BMPR1A,1.0,-0.00895502
27044,STAT5A,1.0,-0.12829804
27509,BMP2,1.0,-0.33101544
28540,NR1D1,1.0,-0.0035041573
28920,NR1D2,1.0,-0.0058768545
29146,STAT5B,1.0,-0.028598199
31480,CNTFR,0.625604152914405,-0.065409854
32208,BMP6,0.3740136370281992,-0.09326384
33222,PCYT1A,0.1202941133112278,-0.109581634
34098,BMPER,0.027899723182962046,-0.14955327
34135,SMAD2,0.026425307352716167,-0.1164297
34494,BMP2K,0.012728580396643848,-0.18288924
34924,ARNTL2,0.0032099814360099905,-0.30310643
35689,IL6ST,5.792421066800728e-05,-0.19689675
36115,STAT1,4.6781830299625956e-07,-0.42123964
36253,CLOCK,1.577426255793662e-08,-0.23596004
36402,COLQ,1.0402457596177111e-10,-0.28983787
