,Dementia_n,Dementia_p,Dementia_l
133,BMPR2,1.8753635562257247e-33,0.1594606
486,CNTFR,4.1167150202216846e-15,0.35218892
1094,RORA,2.850112938286646e-08,0.09599092
1095,BMP1,2.8947302746404296e-08,0.5193803
1644,ACHE,8.243477873330309e-06,0.42794144
1649,BMP8A,8.690704509954921e-06,0.2641551
1911,KLF16,4.497119368300355e-05,0.31778938
2244,KLF7,0.00023948168290236266,0.088659294
2342,IL6R,0.0003843243902474417,0.7776103
2428,STAT5B,0.0005915041688782168,0.12397057
2470,IL6ST,0.0006950677230842337,0.08337536
2785,LIFR,0.0021268472531192624,0.09647737
3237,PCYT1A,0.007873049243981835,0.091114715
3945,NGF,0.03241306437069336,0.3300557
4488,CLOCK,0.07240140651361213,0.045268286
4701,BMP6,0.09508422373112761,0.18841414
5115,BMPR1A,0.14698426134471837,0.040482327
5235,NPAS2,0.16815469616925954,0.034630213
5446,BMPER,0.2103491289313774,0.037951633
5642,NR1D1,0.24646706749777136,0.014936159
5896,SMAD2,0.30244345522342436,0.037015803
6608,STAT3,0.47478976441252,0.02660691
6861,NTRK1,0.540534346438099,0.24617779
7118,BMPR1B,0.6081567766610848,0.18293783
9037,CNTF,1.0,0.15832177
10535,PRIMA1,1.0,1.3979752
10807,RORB,1.0,0.0075586927
11898,BCHE,1.0,0.49371797
12026,BMP2,1.0,-0.019200437
13663,NR1D2,1.0,0.0017438487
13679,BMP8B,1.0,-0.24498525
14372,LHX6,1.0,0.21777067
14393,STAT5A,1.0,0.46429738
16018,LHX8,1.0,1.145001
17318,NGFR,1.0,0.8760112
17592,BMP7,1.0,-0.15117729
17615,NKX2-1,1.0,2.4186983
18091,SLC5A7,1.0,-0.40459546
18322,BMP2K,1.0,-0.024761748
22496,LIF,1.0,0.0
22792,SLC18A3,1.0,0.0
23478,GBX2,1.0,-0.963682
24067,BMP10,1.0,-13.571925
24914,IL6,1.0,-1.7013843
25336,BMP5,1.0,-0.2643649
25681,BMP15,1.0,-2.2019875
25823,BMP3,1.0,-0.16127048
25906,GBX1,1.0,-0.27761695
27032,CHAT,1.0,-0.694596
28461,KLF4,1.0,-0.5309814
29688,BMP4,1.0,-0.33897144
29761,RORC,1.0,-1.3109502
34993,STAT1,0.0005123875413288387,-0.2543159
35440,ARNTL2,3.0915971744146932e-06,-0.09838415
35612,BDNF,1.4033393849260724e-07,-0.26943034
35646,COLQ,5.7227425059600044e-08,-0.15328959
36029,ARNTL,1.0962926242177428e-13,-0.17136005
36278,NTRK2,6.84252312052326e-24,-0.14648837
