,Dementia_n,Dementia_p,Dementia_l
63,RORA,6.51E-150,0.18484993
114,BMPR2,1.56E-96,0.11141743
365,RORB,1.61E-43,0.08786371
523,ARNTL,3.88E-29,0.1139569
922,NR1D1,7.52E-15,0.2728403
1008,STAT5B,5.71E-13,0.14490207
1123,NR1D2,5.10E-11,0.07703459
1535,BMPR1A,3.22E-06,0.051257208
1763,BMP1,0.000118169,0.50525725
1924,CLOCK,0.000687265,0.018557407
2171,ACHE,0.006909752,0.19130504
2418,STAT3,0.033895787,0.08741947
2513,CNTFR,0.057708526,0.1419375
2619,SMAD2,0.086518204,0.015948234
2933,KLF16,0.239777868,0.17276263
3159,NPAS2,0.372375466,0.003753605
3811,NGF,0.796955529,0.55897754
4204,IL6ST,1,0.056878604
4978,PRIMA1,1,0.35229468
5099,LHX6,1,0.25125942
5279,CNTF,1,0.103272
6015,SLC5A7,1,0.2202489
6130,BMP6,1,0.18042678
6316,GBX1,1,0.6609923
7838,LIF,1,3.6798038
8463,IL6,1,0.7666702
8760,BMP10,1,0.2669791
9642,KLF4,1,0.46850955
11064,SLC18A3,1,0
12245,BMP15,1,-0.7322842
12520,NKX2-1,1,-0.27268907
13262,NGFR,1,0.37914836
14257,CHAT,1,-0.020113204
15963,LHX8,1,-1.333328
16739,GBX2,1,0.10326735
17470,STAT5A,1,-0.004820646
18202,NTRK1,1,-0.078318335
18817,BMP2,1,-0.022585392
19062,BMP5,1,-0.10474818
19771,BMP3,1,-0.09329175
20204,RORC,1,-0.7022356
21104,BCHE,1,0.022262448
21158,KLF7,1,0.014822779
21412,BMP7,1,-0.04463493
23344,BMP8B,0.620437761,-0.31837037
23787,BMP8A,0.528524788,-0.005826222
26601,BMP4,0.055515473,-0.32246614
27411,PCYT1A,0.015828719,-0.004556873
27664,IL6R,0.010213292,-0.2111685
31046,BMPER,9.91E-08,-0.056440823
31384,BDNF,1.29E-08,-0.40954015
31798,BMPR1B,6.02E-10,-0.23940106
31975,LIFR,1.28E-10,-0.084301665
33516,NTRK2,1.72E-18,-0.046986144
34184,BMP2K,2.01E-24,-0.119017996
34452,ARNTL2,1.26E-27,-0.119634405
35021,COLQ,2.79E-36,-0.1380659
35206,STAT1,2.63E-40,-0.28700733
