,Dementia_n,Dementia_p,Dementia_l
68,RORA,7.766682842597121e-41,0.1070253
472,NGF,2.3725218153251013e-09,0.2641337
524,NPAS2,2.3517557345168993e-08,0.07464191
626,BMPR2,5.91763456476313e-07,0.044341005
982,IL6R,0.0004322524864324353,0.10865286
1171,SMAD2,0.0028443511515143976,0.068606816
1230,STAT5B,0.004511619304546947,0.050791606
1347,NR1D1,0.009692895215929625,0.13770986
1551,LIFR,0.027077300386406336,0.052621588
1851,RORB,0.08883059084119047,0.21477546
2185,BMP1,0.22073644063662382,0.25842807
2824,CNTFR,0.573347507490513,0.037499107
3374,BMP8A,0.9151682747778425,0.043013956
3983,KLF16,1.0,0.13195775
4086,NR1D2,1.0,0.011268097
4815,BMPR1A,1.0,0.0011528824
5409,PRIMA1,1.0,0.44043025
6261,CNTF,1.0,0.06467117
8278,KLF4,1.0,1.4135871
9130,BMPR1B,1.0,0.07471954
9277,NKX2-1,1.0,0.71230024
9565,NTRK1,1.0,0.1128842
10553,BMP5,1.0,0.0024662537
10554,GBX1,1.0,-0.038115755
10815,LIF,1.0,15.770639
10837,RORC,1.0,0.20217748
10950,STAT5A,1.0,0.019049702
11052,CHAT,1.0,0.39353526
11391,GBX2,1.0,0.8349762
11796,LHX8,1.0,0.70687777
13269,BMP15,1.0,0.68635476
13324,SLC18A3,1.0,0.868506
14049,BMP10,1.0,0.0
16890,SLC5A7,1.0,-0.40518466
18460,IL6,1.0,-0.10443579
18483,NGFR,1.0,-0.2208264
20504,LHX6,1.0,0.059612665
23899,PCYT1A,1.0,0.0010813178
26366,BMP4,1.0,-0.21948116
26849,BDNF,1.0,-0.47979718
27230,BMP8B,1.0,-0.4274769
27360,BMP3,1.0,-0.29899898
27610,BMP6,1.0,-0.03406855
28747,BMP2,0.918604241649727,-0.23756711
30631,BCHE,0.3234308052967248,-0.10919034
31837,ARNTL,0.09547936816595705,-0.051094066
31989,NTRK2,0.07921714580327775,-0.02416082
32168,STAT3,0.06118108570157112,-0.038462713
32220,ACHE,0.055875826063060546,-0.1432454
32380,BMP7,0.04237816899027365,-0.39342454
32643,BMP2K,0.026376198346395482,-0.046887074
32875,CLOCK,0.01636308580142217,-0.042580757
32991,KLF7,0.012494417654035054,-0.06430566
35122,STAT1,2.5650072633763134e-07,-0.17576177
35738,IL6ST,3.7133589959540355e-12,-0.1399539
35791,BMPER,1.0227270928935344e-12,-0.15806484
36055,ARNTL2,2.7000207141611903e-17,-0.2903681
36262,COLQ,8.977988096548209e-24,-0.17506287
