,Dementia_n,Dementia_p,Dementia_l
471,BMPR2,0.005781028501696033,0.06572116
684,RORB,0.05487593520048686,0.409441
795,STAT5B,0.1162202948085199,0.083273955
1514,BCHE,0.7931677388454824,0.3058664
1543,SMAD2,0.8296946738022638,0.04176016
1755,RORA,1.0,0.009763166
2368,NR1D1,1.0,0.08341279
2562,ACHE,1.0,0.016575588
3007,STAT3,1.0,0.04078428
3333,ARNTL2,1.0,0.012104945
3782,BMPR1A,1.0,-0.0021908325
3794,PRIMA1,1.0,0.48491645
4000,BMP3,1.0,0.5880597
5225,BMP5,1.0,1.7073717
5484,BMP1,1.0,0.066872254
6221,BMP2,1.0,0.0154017005
7732,GBX1,1.0,0.6879243
7888,NGFR,1.0,0.41959733
8260,BMP4,1.0,1.2631912
8709,KLF4,1.0,1.334043
9665,SLC5A7,1.0,0.81441766
9723,LHX8,1.0,2.2991846
10337,LIF,1.0,17.191061
10948,BMP7,1.0,-0.021480653
10960,BMP6,1.0,0.03852299
12350,SLC18A3,1.0,0.0
12435,IL6,1.0,0.0
13435,BMP10,1.0,0.0
15726,STAT5A,1.0,0.049514823
15915,RORC,1.0,1.0042332
16416,BMP15,1.0,-0.31117925
16543,GBX2,1.0,-1.8068244
17285,BMP8B,1.0,-0.30519894
18474,CNTF,1.0,-0.10890284
21624,CHAT,1.0,-2.345828
21837,BMP8A,1.0,-0.000505787
23202,KLF16,1.0,0.0007017057
23908,BDNF,1.0,0.017302046
24044,NTRK1,1.0,-0.24848866
26551,STAT1,1.0,-0.033707622
26820,NKX2-1,1.0,-0.027679028
27075,BMPR1B,1.0,-0.23459166
28095,CLOCK,1.0,-0.022419596
28617,LIFR,1.0,-0.036679875
29125,NTRK2,1.0,-0.015124418
30209,IL6R,1.0,-0.0971962
30739,NPAS2,0.9127155054867222,-0.02627237
30784,CNTFR,0.9011098693151288,-0.04692823
31573,LHX6,0.6355956055408924,-0.029408116
32466,ARNTL,0.35959213170633797,-0.057895344
32863,NR1D2,0.25303185572833087,-0.05295551
33570,BMP2K,0.11992586286742489,-0.13106184
33870,BMPER,0.07314209072027769,-0.08243085
34348,PCYT1A,0.031616663235442224,-0.09841881
35241,KLF7,0.0017424093895366986,-0.22101998
35812,COLQ,3.213750480774636e-05,-0.13535109
35824,NGF,2.7214592635739088e-05,-0.234343
36534,IL6ST,1.7064653851601756e-20,-0.27253407
