,Dementia_n,Dementia_p,Dementia_l
125,BMP6,0.23304879401194595,0.4560374
367,KLF4,1.0,0.4268146
643,STAT5B,1.0,0.18645313
792,BMP2K,1.0,0.23169848
1400,LIFR,1.0,0.12510866
1447,CLOCK,1.0,0.13792565
1796,NR1D1,1.0,0.41213667
2254,NPAS2,1.0,0.09187593
3027,SMAD2,1.0,0.088836275
4083,ARNTL2,1.0,0.20367426
5560,NGF,1.0,0.69985074
7022,STAT3,1.0,0.06783334
7291,BCHE,1.0,0.46327162
8186,BMP3,1.0,21.28487
9045,KLF16,1.0,0.07071976
9930,RORC,1.0,19.729761
10481,GBX1,1.0,20.844936
10542,NTRK1,1.0,20.529926
11714,CNTFR,1.0,0.51299495
11830,CNTF,1.0,0.5927005
12074,PRIMA1,1.0,0.5538103
13505,CHAT,1.0,0.0
13506,SLC18A3,1.0,0.0
14515,GBX2,1.0,0.0
16366,BMP10,1.0,0.0
17316,SLC5A7,1.0,0.0
18399,LHX8,1.0,0.0
19539,LIF,1.0,0.0
20265,BMP15,1.0,0.0
23211,NKX2-1,1.0,0.0
23445,ACHE,1.0,-0.10937727
24425,NGFR,1.0,-0.7356905
24627,BMP8B,1.0,-1.4160337
25920,BMP5,1.0,-20.400503
26427,IL6,1.0,-0.041935004
26444,BMP4,1.0,0.21102506
26673,BMP7,1.0,-0.10132798
26800,RORB,1.0,-0.057136893
27987,BMP2,1.0,-21.892078
28918,BMP1,1.0,-0.03185114
29641,NR1D2,1.0,-0.031013504
29901,BMP8A,1.0,-1.2746909
31820,KLF7,1.0,-0.031313993
32186,STAT5A,1.0,-0.07871997
33565,LHX6,1.0,-0.10694988
33680,BMPR1B,1.0,-0.49361828
34328,BDNF,1.0,-1.658433
34537,BMPR1A,1.0,-0.32462564
34559,COLQ,1.0,-0.36280674
34597,BMPR2,1.0,-0.0036571193
34998,BMPER,1.0,-0.51146615
35073,STAT1,1.0,-0.17045762
35193,IL6ST,1.0,-0.065287076
35779,PCYT1A,1.0,-0.32846767
35830,ARNTL,1.0,-0.28595105
36151,NTRK2,1.0,-0.40922186
36546,IL6R,0.02903840938613295,-0.80428785
36583,RORA,0.0008997990962138218,-0.41816637
