,Dementia_n,Dementia_p,Dementia_l
274,IL6R,3.650249835773587e-12,2.295178
333,BMPER,3.288255533625404e-09,0.33851102
519,BMPR2,4.3456734137351976e-05,0.0526605
613,STAT3,0.0005251277615105117,0.21892776
990,CNTFR,0.061718539657095506,0.2687898
1245,STAT5B,0.27813858478895365,0.05346024
1352,PRIMA1,0.3955619395996096,1.3419548
1656,ARNTL2,0.7637447161975481,0.096385494
1783,RORB,0.9047653294109033,0.25672573
1801,KLF16,0.9278467778829435,0.33896765
2018,KLF7,1.0,0.12067129
2521,BMP8A,1.0,0.63767153
2557,RORA,1.0,-0.09069899
3746,KLF4,1.0,1.9937736
4225,BDNF,1.0,0.1828797
4885,BMP7,1.0,0.5045127
5349,RORC,1.0,1.5868939
5439,GBX1,1.0,0.69701177
5464,BMP10,1.0,18.072893
5757,LHX8,1.0,2.6214173
7321,BMP5,1.0,0.18073612
7708,NGFR,1.0,0.4285329
8001,BMP3,1.0,0.13519329
8165,BMP4,1.0,0.4114341
9102,BMP15,1.0,0.10369682
9122,IL6,1.0,0.37959605
9365,NKX2-1,1.0,0.7791987
10252,LIF,1.0,0.0
11503,SLC18A3,1.0,0.0
14909,GBX2,1.0,-15.845809
17751,CHAT,1.0,-0.544585
17993,SLC5A7,1.0,-0.4973392
19333,CNTF,1.0,-0.13156047
19857,BMPR1B,1.0,0.06410475
20117,BMP8B,1.0,-0.52597106
21070,NTRK1,1.0,-0.5211713
21576,BMP2,1.0,-0.030883275
21606,STAT5A,1.0,0.022327553
22960,BCHE,1.0,-0.032495957
23621,LIFR,1.0,0.027432239
24053,BMP1,1.0,-0.14780667
27479,ACHE,0.4721192041193649,-0.08969384
27800,ARNTL,0.38665589237625914,-0.010076284
28097,BMPR1A,0.3187370117325814,-0.04330895
28098,BMP2K,0.3181721119583711,-0.045772385
28760,SMAD2,0.19731206922189554,-0.04774112
29878,NR1D1,0.06366502943212983,-0.25749287
32191,NR1D2,0.0008839207079465019,-0.098055966
33216,NPAS2,2.2358322059996847e-05,-0.1834541
33373,PCYT1A,1.1131599229321772e-05,-0.16902411
33468,NGF,7.135155862552762e-06,-0.291956
33668,BMP6,2.180959577184409e-06,-0.5768413
33889,STAT1,6.340110772053873e-07,-0.3706208
34628,COLQ,2.7790355480886038e-09,-0.20547779
35208,CLOCK,3.647880767010509e-12,-0.18216169
35685,IL6ST,2.3208665658907347e-16,-0.22296907
35912,LHX6,7.887703124507147e-20,-0.25844282
36293,NTRK2,3.410381029443974e-30,-0.13800897
