,Dementia_n,Dementia_p,Dementia_l
298,STAT3,0.7253218373593755,0.36217055
343,LHX6,0.8318065574505219,0.25875947
399,BMPR1A,0.9636075472533405,0.15774894
558,KLF7,1.0,0.32029626
614,BMPR2,1.0,0.07677749
669,RORA,1.0,0.11594368
838,NTRK2,1.0,0.07992807
1053,IL6R,1.0,1.3871884
1855,NGF,1.0,0.78990763
2204,BMP6,1.0,0.5430802
2260,ARNTL2,1.0,0.16663261
2277,LIFR,1.0,0.21539831
3140,KLF16,1.0,0.4210211
3281,NPAS2,1.0,0.07584638
3441,LHX8,1.0,3.7940798
4266,BMP7,1.0,1.1030315
4316,BMPR1B,1.0,0.8153292
4512,BMP3,1.0,1.9038115
4746,PRIMA1,1.0,1.9548851
6092,SLC5A7,1.0,3.270831
6400,BMP5,1.0,1.8892161
7383,IL6,1.0,20.251707
7648,NKX2-1,1.0,20.75354
8995,CHAT,1.0,2.6873357
9101,RORC,1.0,1.1351057
9285,GBX1,1.0,0.20289986
10090,BDNF,1.0,-0.20321938
10156,BMP8A,1.0,0.70341
11179,GBX2,1.0,0.0
12374,KLF4,1.0,0.0
14020,SLC18A3,1.0,0.0
14328,BMP10,1.0,0.0
15295,BMP15,1.0,0.0
18147,BMP4,1.0,-0.07919411
18284,BCHE,1.0,-0.079632275
19152,LIF,1.0,-19.356287
19511,NGFR,1.0,-19.061735
21911,BMP2,1.0,0.078669965
22647,BMP8B,1.0,-1.2980644
22780,SMAD2,1.0,0.006148972
23548,CNTF,1.0,-0.7145032
24319,ACHE,1.0,0.11034349
24918,STAT5B,1.0,-0.03083171
24990,NTRK1,1.0,-0.9322153
25130,RORB,1.0,0.008978657
25479,ARNTL,1.0,0.100811936
26704,BMPER,1.0,0.0031635915
27614,STAT5A,1.0,-0.12221498
27702,BMP1,1.0,-0.3555774
28882,STAT1,1.0,-0.035365593
28941,IL6ST,1.0,-0.0047513177
30936,CNTFR,1.0,-0.8393342
31338,CLOCK,1.0,-0.13388939
32202,NR1D1,1.0,-1.4702631
33229,BMP2K,1.0,-0.24489422
33519,COLQ,1.0,-0.17646363
34201,NR1D2,0.8416095818616773,-0.18857513
36501,PCYT1A,0.006077959470756249,-0.46548137
