,Dementia_n,Dementia_p,Dementia_l
19,RORA,5.53714131431319e-109,0.5636581
503,CNTFR,2.863401435404705e-13,0.6126153
642,LIFR,5.086958744903624e-10,0.1754319
882,BMPR2,1.0526403502410094e-06,0.09262586
1263,ACHE,0.0006489508077376655,0.5813059
1684,NR1D2,0.019753632216681565,0.09925612
1707,NTRK2,0.02249275099668258,0.036831584
1868,NR1D1,0.052270251635392936,0.34493825
2276,STAT5B,0.2193297831315837,0.18175782
2498,RORB,0.3568589838455509,0.6232343
2567,BMPR1A,0.39990895343223826,0.047540706
2786,CLOCK,0.5560433844729754,0.018579435
3051,ARNTL,0.746386537144095,0.0701421
3609,BMP7,1.0,0.5430651
4090,BMPR1B,1.0,0.4918531
4659,BMP1,1.0,0.33580163
4697,NGF,1.0,0.8838619
4731,NGFR,1.0,1.0201393
5107,KLF4,1.0,0.2472361
5410,BMP3,1.0,0.5028117
5783,RORC,1.0,0.23446757
6201,GBX1,1.0,0.28441143
8320,LHX8,1.0,0.8420731
8399,NKX2-1,1.0,1.3797122
9071,IL6,1.0,15.360539
9272,STAT5A,1.0,0.4685224
9708,BMP4,1.0,0.33912146
10084,GBX2,1.0,-0.6166279
10118,BMP10,1.0,-0.47757405
10820,LIF,1.0,0.0
12361,SLC18A3,1.0,0.0
13271,CHAT,1.0,0.043407306
14834,PRIMA1,1.0,0.2207882
15087,SLC5A7,1.0,0.24917755
15428,BMP15,1.0,-18.001741
15700,CNTF,1.0,0.18146165
17909,BMP8A,1.0,0.0930463
20655,LHX6,1.0,-0.116291925
22134,BMP8B,1.0,-0.6206528
22707,BCHE,1.0,-0.48659733
23260,BMP6,1.0,-0.001686255
25548,NTRK1,0.5312434852308169,-0.895766
25584,BDNF,0.5247768262832598,-0.8477552
25726,BMP5,0.49181546104558127,-0.31364572
25941,KLF16,0.4418838470253006,0.04204369
26171,COLQ,0.387818712723318,-0.014007529
26910,IL6ST,0.23339310093078086,-0.027219627
27095,BMP2,0.20154202009611538,-0.17998463
27567,STAT3,0.1369002352982747,-0.03703107
28517,PCYT1A,0.04944003267542935,-0.03750674
30429,IL6R,0.0021076410350997664,-0.6480705
31739,SMAD2,6.70170563364747e-05,-0.12323464
33403,BMPER,3.901418089181607e-08,-0.18357207
33982,KLF7,5.1857958464311e-10,-0.21145798
34408,NPAS2,1.2771624391476567e-11,-0.17325848
35008,BMP2K,3.3295904023345306e-15,-0.30009374
35875,STAT1,4.3257199731203e-26,-0.5615828
36245,ARNTL2,4.4508951112859386e-39,-0.59860444
