,Dementia_n,Dementia_p,Dementia_l
145,RORA,9.941647879491954e-14,0.4172493
504,STAT3,0.0005525544623149474,0.1302173
1207,KLF7,0.21938683795021424,0.13273445
2674,RORB,1.0,0.21417764
2784,LIFR,1.0,0.32270586
2808,STAT1,1.0,0.1186761
3514,SMAD2,1.0,0.025673326
4005,BMP6,1.0,1.760672
4343,BMPER,1.0,0.12904316
4388,NPAS2,1.0,0.2119597
5246,NR1D1,1.0,0.43243343
5996,BMP7,1.0,0.45416757
6121,KLF4,1.0,0.6144616
6272,COLQ,1.0,0.104703665
6493,NGF,1.0,0.61218786
7173,ACHE,1.0,0.16169985
7725,BMPR1B,1.0,0.18145414
7852,BMP8A,1.0,0.5207493
7857,STAT5A,1.0,-0.0027901013
8006,PRIMA1,1.0,0.72751904
8118,NGFR,1.0,20.558315
8318,CNTFR,1.0,0.36185566
8758,BCHE,1.0,0.3603787
9268,RORC,1.0,19.785906
10544,BDNF,1.0,0.21792409
11141,ARNTL2,1.0,0.0792095
11617,BMP5,1.0,1.8704164
11699,CLOCK,1.0,0.009890898
12201,BMP2,1.0,0.9741819
12938,LIF,1.0,18.80187
13193,BMP3,1.0,-0.4481925
16173,BMP15,1.0,16.856682
16533,KLF16,1.0,0.0122118695
17912,LHX8,1.0,-0.30646488
20523,SLC5A7,1.0,0.0
20798,GBX2,1.0,0.0
20923,NKX2-1,1.0,0.0
21624,BMP10,1.0,0.0
21774,SLC18A3,1.0,0.0
24816,CHAT,1.0,-1.2222059
25094,BMP4,1.0,-0.2831988
25675,IL6,1.0,-0.09424325
26281,ARNTL,1.0,-0.010086106
26543,CNTF,1.0,-0.36304864
26934,GBX1,1.0,-0.5175382
28239,BMP1,1.0,0.0018468968
28333,BMP8B,1.0,0.0013112428
29945,NTRK1,1.0,-0.76070607
31860,LHX6,1.0,-0.7348723
32539,NTRK2,1.0,-0.01665324
32970,BMPR2,1.0,-0.030146718
33048,STAT5B,1.0,-0.032795604
34918,PCYT1A,0.2834116826787353,-0.14686267
35137,BMPR1A,0.14116311396077244,-0.10040152
35271,NR1D2,0.07735202513364402,-0.21696919
36308,IL6R,1.6421559742681286e-12,-0.30831194
36393,IL6ST,1.2372869650884244e-17,-0.26989996
36546,BMP2K,2.0925351138469157e-50,-0.36088887
