,Dementia_n,Dementia_p,Dementia_l
54,BMPR2,8.65E-295,0.13844404
1011,STAT5B,2.86E-30,0.12142857
1142,NPAS2,5.28E-25,0.056975465
1200,NR1D1,1.17E-23,0.24611713
1251,BMPR1A,3.07E-22,0.05981153
1531,CNTFR,6.66E-16,0.14462662
1887,ACHE,1.00E-10,0.3181158
1904,KLF16,1.38E-10,0.32048765
1991,IL6ST,1.28E-09,0.095164254
2217,BMP8A,1.21E-07,0.16646741
2510,NR1D2,1.54E-05,0.045560177
2547,SMAD2,2.51E-05,0.032711633
2555,BMP1,2.75E-05,0.21059448
3292,RORA,0.008440492,0.006329556
4062,CLOCK,0.149236455,0.009287518
4813,ARNTL,0.485011409,0.006452849
4912,NGF,0.540830831,0.56340235
5494,BMP2,0.845885502,0.24666438
5588,BCHE,0.891701719,0.10886593
6512,CNTF,1,0.07718941
7199,NGFR,1,0.9010234
7218,PRIMA1,1,0.20672785
7983,BDNF,1,0.017036017
8410,STAT5A,1,0.34230307
8576,KLF4,1,0.63242906
9365,BMP7,1,0.06756696
9423,LIF,1,2.9936311
9680,LHX8,1,0.407483
10016,NKX2-1,1,0.41493064
10524,GBX2,1,-0.049739752
12835,IL6,1,-1.1645325
13554,SLC18A3,1,-10.814576
14044,BMP10,1,-0.18095928
17074,BMP15,1,-1.0325116
17292,SLC5A7,1,-0.13462485
19114,LHX6,1,0.064466275
19489,CHAT,1,-0.23028837
19666,BMP5,1,-0.03442952
19920,GBX1,1,-0.2083167
20688,RORC,1,-0.56148964
21898,BMP6,1,-0.059341013
23440,IL6R,0.876649636,0.000825058
24073,NTRK1,0.743573819,-0.10281505
24237,BMP8B,0.700971222,-0.18140116
25588,BMP3,0.375422458,-0.2472723
26088,BMP4,0.26849181,-0.09642999
27833,KLF7,0.039305666,-0.006593474
28938,STAT3,0.004580978,-0.008053093
30376,PCYT1A,4.84E-05,-0.022076529
30947,BMP2K,2.64E-06,-0.034841765
31381,LIFR,1.39E-07,-0.04087276
33032,ARNTL2,3.55E-15,-0.056897588
34255,RORB,2.17E-27,-0.12936485
34941,BMPER,2.15E-41,-0.09852191
35238,BMPR1B,1.26E-50,-0.19829436
35276,STAT1,1.15E-51,-0.20057969
35464,COLQ,1.89E-60,-0.11344218
35837,NTRK2,9.06E-88,-0.084280066
