,Dementia_n,Dementia_p,Dementia_l
23,BMPR2,0.17326497930625692,0.26276624
142,NPAS2,1.0,0.33136648
190,SMAD2,1.0,0.33092174
261,BMPR1A,1.0,0.2581021
528,LHX6,1.0,0.23068175
639,NR1D2,1.0,0.19091621
1082,ACHE,1.0,0.40397626
1409,KLF7,1.0,0.13789363
1781,PCYT1A,1.0,0.13691776
1907,STAT3,1.0,0.14019457
2409,ARNTL2,1.0,0.13284825
4638,IL6R,1.0,1.5730004
4905,KLF16,1.0,0.31667274
5383,BMP8A,1.0,1.6890697
5649,BMP1,1.0,0.14778899
5743,CNTFR,1.0,-0.2405141
6137,NR1D1,1.0,0.18699585
7879,BMP5,1.0,20.668365
8112,STAT5A,1.0,-0.034679074
8361,CNTF,1.0,2.1104338
8807,NTRK1,1.0,1.7897992
9483,LHX8,1.0,19.667439
9696,BMP4,1.0,0.15816343
10027,BMP8B,1.0,1.0076181
10275,PRIMA1,1.0,0.9263024
11787,RORC,1.0,18.702444
13248,STAT5B,1.0,0.03378751
13558,NGF,1.0,0.28810364
14944,IL6,1.0,0.0
15990,SLC18A3,1.0,0.0
17681,KLF4,1.0,0.0
18986,NKX2-1,1.0,0.0
19519,NGFR,1.0,0.0
20109,GBX2,1.0,0.0
20333,SLC5A7,1.0,0.0
21235,BMP10,1.0,0.0
22149,BMP15,1.0,0.0
23310,BMPR1B,1.0,0.06456482
23613,BMP3,1.0,0.10745643
24013,BMP7,1.0,-0.70510143
24294,LIF,1.0,-21.743702
24977,CHAT,1.0,-19.873003
25966,BDNF,1.0,-0.5885147
26259,ARNTL,1.0,-0.04552415
26855,RORB,1.0,-0.15615593
28002,RORA,1.0,-0.01489447
28450,BMP2,1.0,-0.32018986
28451,BMPER,1.0,-0.08996421
28732,GBX1,1.0,-21.8535
31806,BMP2K,1.0,-0.07531542
32601,NTRK2,1.0,-0.02182846
33379,STAT1,1.0,-0.33823428
33695,IL6ST,1.0,-0.06475691
34156,BMP6,1.0,-0.3273387
35417,COLQ,1.0,-0.15498723
35486,BCHE,1.0,-0.72895175
35769,LIFR,1.0,-0.31364954
36084,CLOCK,1.0,-0.19864018
