miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-132-3p,910.6576064515624,718.3782307212766,-0.3421650921367671,0.0002001076877722,0.0368839185955211,True,False,"SMAD2,RORB,LIFR,RORA,KLF7,BMP2K",True
hsa-miR-455-3p,82.7906200528125,109.29388658957448,0.4006734766118738,0.0002594413404326,0.0368839185955211,True,True,"SMAD2,BCHE",True
hsa-miR-125b-5p,105019.03113515626,121098.26226340426,0.2055273716911543,0.000317425821554,0.0368839185955211,True,False,"RORA,IL6R,LIFR,RORB,STAT3",True
hsa-miR-216b-5p,35.3831699443125,56.21929253519148,0.6680019954409069,0.0003878125005874,0.0368839185955211,True,False,"RORA,BMPR2,NPAS2,NTRK2,RORB",True
hsa-miR-129-1-3p,990.9060004046876,803.5733384702129,-0.3023185084726876,0.000407264087334,0.0368839185955211,True,False,BMP1,False
hsa-miR-98-5p,8615.366784953125,7225.429932361701,-0.2538287837343969,0.0004297155564526,0.0368839185955211,True,False,"NGF,IL6R,CLOCK",False
hsa-miR-369-5p,128.49344816234375,153.01299818659575,0.2519594137840535,0.0014787572438004,0.1013338501942289,False,False,,False
hsa-miR-532-3p,30.65665065609375,36.53631602829787,0.2531310875269392,0.0016909083260328,0.1013338501942289,False,False,"BMP1,NTRK1,STAT1",False
hsa-miR-377-3p,81.67197000140625,98.4846612861702,0.2700580190729251,0.0017710773398075,0.1013338501942289,False,True,"COLQ,LIFR",True
hsa-miR-143-3p,21018.86386390625,18513.099455957443,-0.1831382383001667,0.0020212124482926,0.1013338501942289,False,False,"LIFR,BMPR1A,ARNTL2",False
hsa-miR-146b-5p,741.7820241984375,624.1598187914893,-0.2490798224246297,0.0021644123342456,0.1013338501942289,False,False,KLF7,False
hsa-miR-618,94.59894153046876,118.91266674259576,0.3300064547281058,0.0027572572726603,0.1092298073400053,False,False,,False
hsa-miR-125a-5p,18168.878747015624,20612.97705908511,0.1820834937266457,0.0027572572726603,0.1092298073400053,False,False,"RORA,IL6R,LIFR,STAT3,RORB",True
hsa-miR-495-3p,228.42560725468743,263.24125431276593,0.2046612106830698,0.0037069808415845,0.1363639381011445,False,True,"CLOCK,RORB,RORA,IL6R,BDNF,BMPR1B,SMAD2,BMPR2,STAT3,BMPR1A,BMP3,NKX2-1,STAT1,LIFR,SLC5A7,BMP7,BMP2K,KLF7",True
hsa-miR-129-2-3p,1163.1464753015623,972.7061519957446,-0.2579568397268819,0.0041727487888896,0.138505253529591,False,False,BMP1,False
hsa-miR-363-3p,3178.770888046876,3651.2187091063824,0.1999090521794908,0.0043788746746249,0.138505253529591,False,True,"KLF4,SLC5A7,RORA,BMPR2",True
hsa-miR-493-5p,13.026283882828125,10.759910521851063,-0.2757594922334934,0.0045720180776758,0.138505253529591,False,True,"NR1D2,BMP5,RORA,PRIMA1,BMPR1A,CLOCK,STAT5B,KLF4",True
hsa-miR-129-5p,5482.188012859375,4662.026839829787,-0.2337944963064622,0.0066006468539541,0.1789122699887561,False,True,"BDNF,CLOCK,KLF7,RORB,BMPR2,RORA,SMAD2,STAT5B,IL6ST,SLC5A7,BMP5,BCHE,STAT3",True
hsa-let-7g-5p,223408.736815625,200666.3669957447,-0.1548867744316098,0.0066006468539541,0.1789122699887561,False,False,"NGF,IL6R,CLOCK",False
hsa-miR-551b-3p,62.95906272734375,70.64741977659575,0.166222807050957,0.0077282898146555,0.1813153031600942,False,False,,False
hsa-miR-488-3p,285.83494039375,312.9805544234042,0.1308907429575807,0.008057567861153,0.1813153031600942,False,True,"IL6ST,CLOCK,PRIMA1,LIFR,BMPR1A,PCYT1A,BMPR2,SMAD2",True
hsa-let-7i-5p,77511.60696406249,67293.1992931915,-0.2039516504789489,0.0083968076786096,0.1813153031600942,False,False,"NGF,IL6R,CLOCK",False
hsa-miR-30d-5p,58905.997964218746,51756.34118659573,-0.186678908124291,0.0090078615588441,0.1813153031600942,False,False,"LHX8,RORA,LIFR,CLOCK,SMAD2,KLF7,BMP2K",True
