miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-let-7g-5p,235593.627,184202.6267,-0.355006879,0.000116548,0.045579496,True,False,"NGF,IL6R,CLOCK",False
hsa-miR-216b-5p,37.35270274,77.45479758,1.052141967,0.000174634,0.045579496,True,False,"RORA,BMPR2,NPAS2,NTRK2,RORB",True
hsa-miR-129-1-3p,1020.95434,791.6834679,-0.366922716,0.000498606,0.069340293,True,False,BMP1,False
hsa-miR-369-5p,127.8322598,178.4985395,0.481660309,0.000761239,0.069340293,True,False,,False
hsa-miR-1-3p,2404.578918,1675.90681,-0.520842347,0.000857247,0.069340293,True,False,"BDNF,RORB,CLOCK,BMPR1B,KLF4,BMP3",True
hsa-miR-155-5p,69.14616814,57.47470432,-0.266722165,0.000929851,0.069340293,True,False,"IL6R,SMAD2,BDNF,RORA,ARNTL,NR1D2",True
hsa-miR-223-5p,55.08966943,36.25365344,-0.603655417,0.000929851,0.069340293,True,False,LIFR,False
hsa-miR-377-3p,86.72509467,123.224329,0.506765709,0.001314238,0.085754032,True,True,"COLQ,LIFR",True
hsa-miR-551b-3p,59.25843728,83.88648673,0.501417845,0.001640825,0.093927477,True,False,,False
hsa-let-7i-5p,85637.88643,64877.14505,-0.400538855,0.001937488,0.093927477,True,False,"NGF,IL6R,CLOCK",False
hsa-miR-98-5p,9249.611781,7382.730304,-0.325238358,0.002058411,0.093927477,True,False,"NGF,IL6R,CLOCK",False
hsa-miR-125b-5p,111598.3524,135612.6401,0.281175927,0.002188411,0.093927477,True,False,"RORA,IL6R,LIFR,RORB,STAT3",True
hsa-let-7f-5p,242246.503,177243.6029,-0.450742281,0.00233919,0.093927477,True,False,"NGF,IL6R,CLOCK",False
hsa-miR-216a-5p,13.93148176,27.45435651,0.978686385,0.003018044,0.103350999,False,False,"BMP10,BMPR2",False
hsa-let-7a-5p,171053.9597,133970.0645,-0.352540834,0.003218044,0.103350999,False,False,"NGF,IL6R,CLOCK",False
