miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-146b-3p,16.129276978727273,8.8013772372,-0.8738805697049541,6.237312738860727e-05,0.0318726680955783,True,False,BMPR2,False
hsa-miR-941,138.53774300454546,91.64264257499998,-0.5961881099879704,0.002370178840767,0.3027903469079939,False,False,,False
hsa-miR-3909,12.34720284909091,16.377617161,0.4075412204361046,0.002370178840767,0.3027903469079939,False,False,,False
hsa-miR-149-5p,2794.703120727273,3331.0280565000003,0.2532724707923872,0.002370178840767,0.3027903469079939,False,True,"BMP2K,CHAT,NTRK2",True
hsa-miR-146b-5p,655.0538434818181,357.86351891000004,-0.8722040158037654,0.0043661189172025,0.3187266809557831,False,False,KLF7,False
hsa-miR-28-3p,3398.9945484545456,2301.8120416,-0.5623380154380229,0.0043661189172025,0.3187266809557831,False,False,BMP2K,False
hsa-miR-423-3p,6728.379816363636,7967.8418655,0.2439298672297827,0.0043661189172025,0.3187266809557831,False,False,,False
hsa-miR-744-5p,6961.69227209091,9349.3422518,0.4254268276083124,0.0063620589936379,0.3676222513296816,False,False,,False
hsa-miR-491-5p,149.56154428090906,249.36110391000005,0.737497174062792,0.0111534492339445,0.3676222513296816,False,False,RORB,False
hsa-miR-331-3p,417.721482490909,601.81474003,0.5267781024899154,0.0111534492339445,0.3676222513296816,False,False,BMP1,False
hsa-miR-744-3p,34.51689314272728,47.09158672899999,0.4481667206652711,0.0111534492339445,0.3676222513296816,False,False,IL6ST,False
hsa-miR-182-5p,387.0599499990909,79.849163237,-2.277207841912676,0.0111534492339445,0.3676222513296816,False,False,"CLOCK,BMP5,BMPR1B,KLF7,NR1D2,BMP3",True
hsa-miR-425-5p,466.9989884363637,660.58254368,0.5003194210542414,0.0111534492339445,0.3676222513296816,False,False,"IL6ST,CLOCK,KLF7",False
hsa-miR-9-5p,488837.7068727273,422866.86949,-0.2091520394188712,0.0111534492339445,0.3676222513296816,False,False,"CNTFR,CLOCK,ARNTL2,RORA,LIFR,IL6ST,BMPER",True
hsa-miR-548n,32.46341770018182,24.314676807,-0.4169874773988669,0.017266015718028,0.3676222513296816,False,False,,False
hsa-miR-4705,18.993024596545453,27.186692,0.517430949247899,0.017266015718028,0.3676222513296816,False,False,,False
