tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-22-INVDRI2Q2,51.84472716,37.09557221,-0.482950273,0.000545342,0.2110472,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-19-BE7XO8I5,42.50079956,29.44733661,-0.529352829,0.003018044,0.318769003,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3",True
tRF-23-OB9ZFH69U,86.39180163,66.78885316,-0.371287069,0.003218044,0.318769003,False,False,"SMAD2,RORA,CLOCK,BMPR2,NR1D2,BMP5,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-22-86J8WPMNH,9.336267203,13.06025182,0.484264958,0.00329477,0.318769003,False,False,,False
tRF-21-R29P4P9L0,12.9330096,8.952964141,-0.530620726,0.006490843,0.502391229,False,False,,False
tRF-21-W03638F5D,8.986990043,14.20685686,0.660677498,0.008927613,0.552724188,False,False,,False
tRF-18-W9RKM80E,25.74758618,49.11980784,0.93186773,0.010324398,0.552724188,False,False,,False
tRF-22-BE7XO8Q62,72.29358863,53.58433485,-0.432056411,0.011473145,0.552724188,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,NR1D2,LHX8,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,IL6ST,BMP3",True
tRF-23-32VIJMRP9,9.195995688,14.58900979,0.665804271,0.012854051,0.552724188,False,False,,False
tRF-22-MEF91SS2M,9.460136821,18.10857601,0.936740148,0.017642505,0.554860099,False,False,,False
tRF-20-9M739P8W,26.94332298,43.30009495,0.684442396,0.018863926,0.554860099,False,False,,False
tRF-18-MBQ4NKDJ,113.8661497,107.0568628,-0.088961643,0.021850423,0.554860099,False,False,,False
tRF-18-8R6546D2,328.9552753,399.0158833,0.278554727,0.023850423,0.554860099,False,False,,False
tRF-23-2IUIX1Q7DR,27.62542278,21.13723467,-0.386209899,0.025850423,0.554860099,False,False,"SMAD2,BMPR2,LIFR,KLF4",True
tRF-23-INVDRI2QD1,57.51282865,41.44708361,-0.472613204,0.028684676,0.554860099,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-20-1SS2PMFI,26.16441477,22.92036336,-0.190976075,0.028684676,0.554860099,False,False,,False
tRF-19-S8V0J8HW,14.08340906,20.01690275,0.507222162,0.029523436,0.554860099,False,False,,False
tRF-18-8R6Q46D2,143.2567844,178.5610991,0.317814348,0.032184133,0.554860099,False,False,,False
tRF-23-3JVIJMRP9,62.83299949,96.80588726,0.623572335,0.032184133,0.554860099,False,False,,False
tRF-21-FSXMSL73E,12.10329948,17.50629917,0.532473737,0.035390294,0.554860099,False,False,,False
tRF-20-B2JK7PP9,17.48247588,25.50028162,0.544603665,0.037458669,0.554860099,False,True,"SMAD2,COLQ,RORA,NTRK2,LIFR",True
tRF-18-69M8LO04,29.13910846,55.42900344,0.927684332,0.037458669,0.554860099,False,False,,False
tRF-21-18YKISQID,38.01647242,16.40155548,-1.212792027,0.037458669,0.554860099,False,False,"BMP2,SMAD2",False
tRF-21-OB9ZFH69B,52.08505721,35.25678191,-0.562968736,0.039416005,0.554860099,False,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-19-O6M83OJX,16.7799788,33.98420951,1.018123672,0.039416005,0.554860099,False,False,,False
tRF-21-YSV4V4SQD,11.08791804,14.45425352,0.382505605,0.042514099,0.554860099,False,False,,False
tRF-20-RPM830MM,35.44856895,39.81124887,0.167448742,0.042514099,0.554860099,False,False,,False
tRF-18-WR645J00,22.00006421,31.07858521,0.498413095,0.042514099,0.554860099,False,False,,False
tRF-18-R29P4P04,242.4084061,237.3289971,-0.030551347,0.043195299,0.554860099,False,False,,False
tRF-18-RPM830D4,22.51673518,26.57113603,0.238862252,0.046680615,0.554860099,False,False,,False
tRF-19-3IRW18JD,20.25646027,27.4722416,0.439592541,0.046680615,0.554860099,False,False,,False
tRF-20-9N1EWJQ7,31.57374171,39.01224792,0.30520189,0.046680615,0.554860099,False,False,"NR1D2,NTRK2",False
