tRF,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,8,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
tRF-16-026ZEDD,0,1,0,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,2,3,0,0,0,2,1,1,0,1,0,0,0,0,0,1
tRF-16-04SXQ3E,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tRF-16-078SUXD,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-07QSNHD,0,2,0,2,2,1,1,0,1,0,0,2,2,1,0,1,0,0,2,1,4,1,2,1,1,0,3,5,2,2,0,0,3,1,0,2,1,2,0,0,1,0,2,0,0,0,2,0,4,0,0,0,1,2,10,2,1,1,1,1,2,1,0,2,1,1,3,0,2,1,2,0,2,0,0,2,3,2,0,2,0,1,0,1,1,0,0,4,0,0,1,0,4,0
tRF-16-085830E,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tRF-16-08F4BDD,14,62,5,6,39,42,88,2,40,56,66,101,0,52,0,52,24,36,13,1,22,65,61,1,45,11,1,3,13,2,9,14,36,182,35,35,16,1,42,0,18,32,25,0,1,91,122,31,133,0,4,42,42,35,79,94,182,0,20,12,7,54,21,1,11,44,10,3,7,142,0,0,34,6,17,5,18,17,6,26,1,42,54,2,1,0,2,0,0,9,9,1,2,9
tRF-16-08P2B5D,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,3,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
tRF-16-08P2F5D,2,2,0,1,0,1,4,0,0,1,4,2,2,1,2,3,0,2,2,2,11,1,4,5,1,2,7,8,2,2,2,0,3,3,2,1,0,0,1,1,0,0,2,1,1,3,3,7,9,3,0,0,1,0,14,4,0,3,2,3,0,1,0,2,0,1,7,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0
tRF-16-08Q2B5D,60,501,102,182,201,190,543,38,285,409,550,721,196,204,201,325,216,208,155,1005,828,350,547,1116,559,324,1098,531,311,174,163,135,485,549,383,395,168,421,451,574,196,79,557,210,659,513,462,1041,1636,530,213,157,197,299,1228,375,223,348,440,409,302,588,316,600,490,331,1008,297,258,575,708,204,110,118,114,305,144,235,165,179,85,414,171,241,153,82,133,247,172,82,131,89,170,81
tRF-16-08R959D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
tRF-16-08R9D9D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tRF-16-097JPE0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0DFKN50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0HLBRRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0JVRI8E,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0L9RQ40,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0P5830E,40,64,115,106,25,81,37,29,38,52,63,23,81,20,164,24,164,20,57,18,18,91,53,38,20,119,37,40,68,67,36,84,4,99,58,20,45,18,41,40,28,7,32,39,45,27,24,17,26,49,31,59,113,121,43,229,103,18,85,52,44,13,53,81,112,33,29,85,86,27,24,5,17,37,14,8,7,2,7,39,10,1,3,12,6,10,15,4,7,8,4,4,10,26
tRF-16-0PRMQ0E,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tRF-16-0RSSX7D,1,4,1,0,1,2,8,0,4,3,5,9,2,1,0,5,0,0,1,2,7,1,5,0,0,0,7,1,0,0,0,0,4,5,5,3,0,1,1,3,0,1,2,2,2,4,4,5,11,1,1,2,0,3,5,3,1,2,1,0,0,3,0,3,0,4,9,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
tRF-16-0RYNURD,0,0,4,0,0,0,3,0,4,2,1,2,2,0,0,0,5,0,1,1,1,2,1,4,0,4,2,1,3,1,2,0,0,2,3,2,1,2,3,14,1,1,0,0,8,2,2,1,2,5,0,4,2,3,2,1,0,0,1,1,2,1,2,4,3,1,2,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tRF-16-0UD3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0UFMQKE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0UQ2B5D,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
tRF-16-0VL8K80,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
tRF-16-113KYOE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-113KYUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
