tRF,10,13,14,15,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,31,32,33,34,35,4,5,6,67,7,73,74,75,76,77,78,79,8,80,81,82,83,84
tRF-16-026ZEDD,0.579232389,0,1.887397824,0,0,0.792164528,0,0,0.744727674,0.802472216,0,0,0,0,0.772154381,0,0.74013978,0,0.56418579,0.556578942,0,0,0,0,0,0.530264955,1.412956369,0,0.819863863,0,0,1.548946077,0,1.893156316,0,0,0,2.301049344,3.111248241,0,0,0
tRF-16-04SXQ3E,0,0,0,1.00140927,0,0,0,0,0,0.802472216,0,0,0,0,0,0,0,0.752505395,0,0.556578942,0.858948187,0.503243186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-078SUXD,0,1.005521497,0,0,0,0.792164528,0,0,0.744727674,0.802472216,0,0,2.499472743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-07QSNHD,1.158464778,2.011042993,0.629132608,1.00140927,0.849147326,0,0,1.915125563,1.489455348,0.802472216,0,1.196953477,0,0,1.544308762,0.513708233,2.960559121,0.752505395,1.12837158,0.556578942,0,1.509729557,5.763311835,1.602089985,0.913876771,0,0.941970913,1.758050118,2.459591588,0,2.561202718,0,0,1.893156316,4.939470405,3.307543111,1.096461245,0,2.074165494,0,1.573949166,0
tRF-16-085830E,0,0,0,0,0,0,0,1.915125563,0,0,0,1.196953477,0,0,0,0,0.74013978,0,0,0,0.858948187,0,1.152662367,0,0,0,0.470985456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-08F4BDD,35.9124081,39.21533837,26.42356953,88.12401575,33.96589306,44.36121359,69.07347249,96.71384095,0,41.72855525,0,62.24158081,59.98734583,30.16870038,10.03800695,0.513708233,16.28307516,48.91285069,34.41533319,25.04605239,9.448430058,0.503243186,3.457987101,10.4135849,166.3255723,0.530264955,44.27263289,0.879025059,8.198638626,0,43.54044621,9.293676462,27.35596746,4.732890791,29.63682243,28.11411644,0,6.903148033,26.96415143,1.806378521,66.10586496,128.8279795
tRF-16-08P2B5D,0.579232389,0,0,2.00281854,0,0,0,1.915125563,0,0,0,0,0,0,0,0.513708233,0,0.752505395,0,0.556578942,0,1.006486371,0,0.801044992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-08P2F5D,1.158464778,0,0.629132608,4.005637079,0,0.792164528,4.18627106,1.915125563,1.489455348,0.802472216,5.404959566,3.590860431,0,1.67603891,1.544308762,1.027416466,8.141537582,0.752505395,2.25674316,0.556578942,1.717896374,3.5227023,9.221298936,1.602089985,2.741630313,0.530264955,1.883941825,1.758050118,5.739047038,0,0,0,0,0.946578158,1.646490135,0,0,0,2.074165494,1.806378521,3.147898331,0
tRF-16-08Q2B5D,290.1954268,202.1098208,119.5351955,543.7652335,242.006988,323.9952921,575.6122708,690.4027656,145.9666241,163.7043321,543.1984364,389.0098801,539.8861125,174.3080467,119.6839291,516.2767742,612.835738,263.3768883,308.6096271,311.1276286,278.2992126,552.5610179,612.0637169,249.1249926,501.7183473,349.4446051,176.6195461,527.4150353,826.4227735,641.904289,140.8661495,182.7756371,183.4458994,288.7063382,237.0945794,388.6363155,388.1472807,189.8365709,185.6378117,153.5421743,651.6149546,407.9552683
