miRNA,SRR1568362,SRR1568363,SRR1568364,SRR1568365,SRR1568366,SRR1568367,SRR1568368,SRR1568369,SRR1568370,SRR1568371,SRR1568372,SRR1568373,SRR1568374,SRR1568375,SRR1568376,SRR1568377,SRR1568378,SRR1568379,SRR1568380,SRR1568381,SRR1568382,SRR1568383,SRR1568384,SRR1568385,SRR1568386,SRR1568387,SRR1568388,SRR1568389,SRR1568390,SRR1568391,SRR1568392,SRR1568393,SRR1568394,SRR1568395,SRR1568396,SRR1568397,SRR1568398,SRR1568399,SRR1568400,SRR1568401,SRR1568402,SRR1568403,SRR1568404,SRR1568405,SRR1568406,SRR1568407,SRR1568408,SRR1568409,SRR1568410,SRR1568411,SRR1568412,SRR1568413,SRR1568414,SRR1568415,SRR1568416,SRR1568417,SRR1568418,SRR1568419,SRR1568420,SRR1568421,SRR1568422,SRR1568423,SRR1568424,SRR1568425,SRR1568426,SRR1568427,SRR1568428,SRR1568429,SRR1568430,SRR1568431,SRR1568432,SRR1568433,SRR1568434,SRR1568435,SRR1568436,SRR1568437,SRR1568438,SRR1568439,SRR1568440,SRR1568441,SRR1568442,SRR1568443,SRR1568444,SRR1568445,SRR1568446,SRR1568447,SRR1568448,SRR1568449,SRR1568450,SRR1568451,SRR1568452,SRR1568453,SRR1568454,SRR1568455,SRR1568456,SRR1568457,SRR1568458,SRR1568459,SRR1568460,SRR1568461,SRR1568462,SRR1568463,SRR1568464,SRR1568465,SRR1568466,SRR1568467,SRR1568468,SRR1568469,SRR1568470,SRR1568471,SRR1568472,SRR1568473,SRR1568474,SRR1568475,SRR1568476,SRR1568477,SRR1568478,SRR1568479,SRR1568480,SRR1568481,SRR1568482,SRR1568483,SRR1568484,SRR1568485,SRR1568486,SRR1568487,SRR1568488,SRR1568489,SRR1568490,SRR1568491,SRR1568492,SRR1568493,SRR1568494,SRR1568495,SRR1568496,SRR1568497,SRR1568498,SRR1568499,SRR1568500,SRR1568501,SRR1568502,SRR1568503,SRR1568504,SRR1568505,SRR1568506,SRR1568507,SRR1568508,SRR1568509,SRR1568510,SRR1568511,SRR1568512,SRR1568513,SRR1568514,SRR1568515,SRR1568516,SRR1568517,SRR1568518,SRR1568519,SRR1568520,SRR1568521,SRR1568522,SRR1568523,SRR1568524,SRR1568525,SRR1568526,SRR1568527,SRR1568528,SRR1568529,SRR1568530,SRR1568531,SRR1568532,SRR1568533,SRR1568534,SRR1568535,SRR1568536,SRR1568537,SRR1568538,SRR1568539,SRR1568540,SRR1568541,SRR1568542,SRR1568543,SRR1568544,SRR1568545,SRR1568546,SRR1568547,SRR1568548,SRR1568549,SRR1568550,SRR1568551,SRR1568552,SRR1568553,SRR1568554,SRR1568555,SRR1568556,SRR1568557,SRR1568558,SRR1568559,SRR1568560,SRR1568561,SRR1568562,SRR1568563,SRR1568564,SRR1568565,SRR1568566,SRR1568567,SRR1568568,SRR1568569,SRR1568570,SRR1568571,SRR1568572,SRR1568573,SRR1568574,SRR1568575,SRR1568576,SRR1568577,SRR1568578,SRR1568579,SRR1568580,SRR1568581,SRR1568582,SRR1568583,SRR1568584,SRR1568585,SRR1568586,SRR1568587,SRR1568588,SRR1568589,SRR1568590,SRR1568591,SRR1568592,SRR1568593,SRR1568594,SRR1568595,SRR1568596,SRR1568597,SRR1568598,SRR1568599,SRR1568600,SRR1568601,SRR1568602,SRR1568603,SRR1568604,SRR1568605,SRR1568606,SRR1568607,SRR1568608,SRR1568609,SRR1568610,SRR1568611,SRR1568612,SRR1568613,SRR1568614,SRR1568615,SRR1568616,SRR1568617,SRR1568618,SRR1568619,SRR1568620,SRR1568621,SRR1568622,SRR1568623,SRR1568624,SRR1568625,SRR1568626,SRR1568627,SRR1568628,SRR1568629,SRR1568630,SRR1568631,SRR1568632,SRR1568633,SRR1568634,SRR1568635,SRR1568636,SRR1568637,SRR1568638,SRR1568639,SRR1568640,SRR1568641,SRR1568642,SRR1568643,SRR1568644,SRR1568645,SRR1568646,SRR1568647,SRR1568648,SRR1568649,SRR1568650,SRR1568651,SRR1568652,SRR1568653,SRR1568654,SRR1568655,SRR1568656,SRR1568657,SRR1568658,SRR1568659,SRR1568660,SRR1568661,SRR1568662,SRR1568663,SRR1568664,SRR1568665,SRR1568666,SRR1568667,SRR1568668,SRR1568669,SRR1568670,SRR1568671,SRR1568672,SRR1568673,SRR1568674,SRR1568675,SRR1568676,SRR1568677,SRR1568678,SRR1568679,SRR1568680,SRR1568681,SRR1568682,SRR1568683,SRR1568684,SRR1568685,SRR1568686,SRR1568687,SRR1568688,SRR1568689,SRR1568690,SRR1568691,SRR1568692,SRR1568693,SRR1568694,SRR1568695,SRR1568696,SRR1568697,SRR1568698,SRR1568699,SRR1568700,SRR1568701,SRR1568702,SRR1568703,SRR1568704,SRR1568705,SRR1568706,SRR1568707,SRR1568708,SRR1568709,SRR1568710,SRR1568711,SRR1568712,SRR1568713,SRR1568714,SRR1568715,SRR1568716,SRR1568717,SRR1568718,SRR1568719,SRR1568720,SRR1568721,SRR1568722,SRR1568723,SRR1568724,SRR1568725,SRR1568726,SRR1568727,SRR1568728,SRR1568729,SRR1568730,SRR1568731,SRR1568732,SRR1568733,SRR1568734,SRR1568735,SRR1568736,SRR1568737,SRR1568738,SRR1568739,SRR1568740,SRR1568741,SRR1568742,SRR1568743,SRR1568744,SRR1568745,SRR1568746,SRR1568747,SRR1568748,SRR1568749,SRR1568750,SRR1568751,SRR1568752,SRR1568753,SRR1568754,SRR1568755,SRR1568756
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,5,0,1,4,7,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
hsa-let-7a-3p,3,1,0,0,2,0,12,3,1,1,43,0,0,3,1,0,0,0,0,3,3,8,7,4,15,7,4,7,0,5,0,20,0,2,1,1,4,31,16,0,2,0,0,0,25,7,7,0,0,0,0,0,0,53,8,4,5,1,0,0,6,0,54,26,0,3,3,0,7,0,4,2,22,0,17,5,10,0,7,7,0,4,0,195,0,9,0,0,24,0,5,53,1,0,9,70,24,5,6,41,0,21,3,1,0,1,0,5,1,6,0,0,22,0,2,0,16,2,14,1,44,20,6,0,15,3,12,8,0,0,0,110,0,9,0,23,8,5,2,3,0,20,0,4,25,3,1,0,34,0,12,0,64,0,76,1,11,1,49,0,11,0,27,7,5,15,8,8,1,3,0,11,0,3,16,25,3,60,2,13,33,3,43,0,0,0,69,0,32,30,38,172,94,5,9,0,39,15,21,17,0,4,0,13,0,27,0,0,22,80,199,17,0,45,10,0,3,13,13,20,0,1,34,0,0,22,3,1,0,6,2,96,0,0,0,1,20,14,0,41,16,0,93,8,0,3,4,0,19,8,220,59,7,1,184,0,0,3,5,0,6,0,27,0,114,19,0,0,0,0,38,7,0,28,0,0,0,2,8,0,4,14,8,0,0,0,1,4,2,3,0,4,0,2,0,0,36,0,51,0,0,0,0,4,38,4,0,8,16,20,11,8,2,0,0,1,14,0,0,1,5,0,27,3,0,2,0,3,6,18,11,2,0,0,0,1,11,0,6,1,1,6,16,1,2,2,1,4,4,1,11,5,15,0,11,0,0,0,1,0,2,0,21,30,7,7,0,33,38,12,0,4,4,3,8,2,7,0,23,7,0,8,2,4,0,7,11,1,0,46,0,31,33,18,10
hsa-let-7a-5p,5425,1491,573,74,1776,7,1783,407,985,8671,5375,1,138,2193,349,282,11,562,705,2157,13,114,2919,1995,4584,978,1152,3173,685,569,6,4128,132,4560,2307,1687,2219,5072,4421,17,3458,62,227,15,4901,1009,3379,353,15,7,633,1,2583,4705,5498,856,1102,243,74,4,680,0,7355,327,3501,63,565,0,1975,41,5186,1927,4374,9,2025,1057,631,67,3472,7305,9,4245,2532,36975,24,1004,182,10,2950,1407,1788,32180,743,40,2787,9194,1618,7303,1633,8290,23,3821,99,1487,299,220,61,1926,815,2030,0,560,8027,775,464,1,3000,395,7380,10283,11915,2740,3021,486,1072,797,3279,680,122,1,1036,16063,1239,8182,22,258,2258,1476,1709,1434,3,6829,69,2589,3304,1786,2663,48,14134,320,1929,943,14826,17,55477,112,7599,986,24250,27,9362,97,19240,105,1949,1273,2744,1735,110,801,7,655,474,4500,3796,9373,393,29812,5788,903,1680,660,4861,2495,1399,115,3047,113,12333,1582,19611,17925,29512,972,10598,1509,14034,3580,9109,16993,335,2232,0,4695,110,14514,17,1764,884,15340,2874,6264,42,10224,4430,776,1238,1126,678,7151,7,272,2096,342,229,4609,141,2468,627,3074,1815,41563,1661,4,585,13,9365,14684,77,9543,1669,306,17328,10537,55,4569,102,22,5194,1282,5200,5192,401,2098,10003,0,80,167,1049,206,998,1225,15219,86,39874,6463,12,135,0,0,10384,1660,1882,2135,388,1406,187,4750,2103,165,4027,13461,4839,3,975,124,246,1565,187,717,118,3811,755,954,951,36,4842,16,642,681,14,890,2,2275,1925,1171,1,2122,7409,2775,3783,588,1612,210,897,1538,6383,72,1785,1145,3293,2835,3405,583,741,952,845,599,5990,2903,201,367,144,695,59,2419,1579,855,969,2845,680,17841,5281,29,1372,57,149,1724,1485,195,4665,78,3993,100,2285,154,771,91,967,408,1721,1553,17396,421,683,2778,2026,3894,1255,1349,59,4010,937,801,1684,473,2307,36,1860,1833,2582,5961,21,3617,2269,1175,967,349,137,2941,3,9460,4895,5502,6519
hsa-let-7b-3p,22,6,0,0,1,0,0,6,2,0,11,0,0,15,2,3,0,1,0,7,0,26,5,14,2,12,2,6,0,0,0,5,7,3,2,2,2,312,8,0,3,1,0,0,6,14,3,3,0,0,0,0,0,6,32,0,3,2,0,0,0,0,42,45,6,0,1,0,3,0,2,3,3,0,6,6,6,6,10,4,0,1,2,85,0,5,3,0,23,0,2,155,2,11,9,24,34,4,17,20,0,10,20,1,0,0,0,2,3,3,0,0,4,11,1,0,4,84,8,12,14,23,1,0,2,10,3,10,1,0,0,83,0,11,0,15,34,4,5,1,0,35,0,10,33,9,3,0,13,0,2,10,22,0,93,1,17,10,32,0,5,0,33,4,1,3,19,3,15,2,0,6,16,5,41,22,6,94,2,13,11,0,16,0,0,0,16,0,21,59,23,191,158,4,13,4,132,9,54,36,13,8,0,11,0,15,0,15,21,88,164,30,1,31,6,0,1,9,31,17,0,0,32,0,0,11,1,5,2,1,1,57,2,0,3,0,106,45,0,20,7,0,39,29,0,2,0,0,2,11,192,119,2,4,48,0,0,3,14,0,1,2,21,0,48,6,0,0,0,0,0,0,0,3,1,0,0,6,6,0,2,6,1,0,0,0,4,0,1,0,0,3,15,2,0,0,32,0,17,0,0,4,0,72,46,3,0,38,0,22,3,2,10,0,0,0,13,0,0,1,2,1,24,1,1,0,0,0,8,16,7,0,0,1,0,1,58,0,0,0,0,25,12,10,0,8,0,0,9,5,7,14,2,0,2,1,0,0,3,0,1,0,8,6,3,4,7,11,18,16,3,0,3,1,0,1,1,0,5,2,1,9,0,1,5,1,34,3,0,7,0,14,15,6,8
hsa-let-7b-5p,5845,802,1559,198,1624,2,703,1520,421,4536,5212,4,97,1318,1723,2012,113,810,842,1108,45,239,5156,847,1054,464,143,1385,136,355,7,4070,793,903,402,335,265,4029,2036,23,9258,127,148,38,10639,3477,6591,2497,7,47,497,1,4263,4550,2268,93,1431,740,40,7,101,0,9834,2313,820,81,330,0,1365,43,956,9021,2161,45,1490,1441,1078,293,1919,2822,5,1948,1894,13780,18,1479,282,196,4429,2215,350,37465,629,381,1147,2321,3787,3027,2335,5179,64,2403,386,189,74,3363,108,422,1631,839,0,86,825,1251,1746,41,596,554,1456,1804,12564,3285,799,373,857,365,1629,516,189,1,1995,8216,857,1818,64,1066,4916,1380,835,798,11,4019,1334,1545,2713,1388,1609,147,1818,420,1670,534,5044,138,34813,288,4191,1655,15214,11,2304,364,3829,628,858,13605,8354,1369,1715,457,1,995,1209,2232,1516,3471,785,21013,966,963,1183,163,7759,600,135,94,7912,221,4281,3218,6020,18298,13700,1731,7014,540,11202,2156,4441,7556,2902,781,4,1969,60,3813,11,948,3464,13453,5063,5003,73,3751,2670,1160,956,1203,1664,3433,0,773,5220,150,83,827,410,4335,757,589,1027,13789,1624,7,1040,9,3985,6366,94,6203,4685,358,16808,16325,307,987,325,49,2526,605,21178,9727,1729,2417,16860,0,117,622,1344,1140,410,267,5451,2208,25408,4546,0,508,0,2,1590,5772,242,4138,265,112,35,12957,1561,123,660,5442,3104,5,498,120,873,411,119,899,378,1437,946,209,123,35,2692,21,880,120,13,493,4,2382,14764,660,2,2267,370,3381,788,2037,3061,113,3499,488,5448,536,4828,759,2475,483,1110,627,843,605,186,654,936,2757,1147,213,81,725,9,323,1210,609,503,884,527,3392,1023,250,465,200,528,1643,1233,891,4287,1079,769,598,1320,313,561,222,460,341,4193,201,11239,2765,5151,1933,14574,968,276,1224,928,657,852,232,390,292,1288,68,1331,310,618,1134,58,547,877,868,1736,434,93,3187,6,1559,2579,1780,2531
hsa-let-7c-3p,3,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,13,0,1,0,0,2,0,2,4,0,1,0,7,5,4,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,3,2,0,10,1,0,0,1,0,2,0,0,0,0,14,0,7,0,6,0,2,0,0,0,13,0,1,0,0,1,0,10,0,1,0,11,0,25,0,6,0,3,0,1,0,13,0,3,5,0,5,0,0,0,1,0,1,1,3,0,21,1,0,1,0,9,0,0,0,3,0,17,3,5,19,9,0,0,1,5,3,0,4,0,0,0,3,0,1,0,1,0,8,2,1,0,7,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,11,2,0,2,0,0,16,5,0,0,0,0,2,1,18,1,0,0,5,0,0,0,4,0,0,0,5,0,14,3,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,6,0,7,8,0,2
hsa-let-7c-5p,6391,144,1210,24,2219,9,1561,60,947,322,3052,0,94,158,913,44,35,74,321,32,21,24,3192,133,2589,322,294,1167,49,683,7,4723,20,2309,163,976,1189,794,2696,10,620,24,266,6,14389,2041,2906,62,11,4,366,1,211,5654,1280,271,1636,87,65,7,271,0,14309,790,1670,23,507,0,5350,3,3127,350,4662,5,3875,54,1528,85,5185,3385,2,6914,35,16420,11,1929,188,14,9009,181,667,18437,2395,69,3432,5775,230,7235,470,8590,5,4661,120,746,6,1671,72,1293,100,1779,2,60,3867,127,1822,3,1335,55,5452,252,20132,2462,1974,45,1185,145,3523,411,11,3,142,12425,70,5040,10,600,68,2925,68,2326,3,7205,47,4159,196,235,3397,15,5055,43,4368,117,12205,7,57491,233,7364,203,23146,39,5915,40,11614,12,2403,11268,701,2158,84,1165,6,1201,150,5241,294,5340,151,15292,1804,17,1938,28,9936,176,528,2,4904,10,12539,240,9934,10955,13846,197,5386,554,8342,3729,2093,13489,547,2702,4,4363,14,6756,3,1717,195,17583,837,7326,43,5092,5365,50,1751,703,666,6212,0,679,736,230,5,3596,42,2393,34,1338,147,33042,318,7,61,12,1375,13937,2,10065,3675,43,24080,14371,100,1663,398,2,5915,919,15683,2055,1048,302,11209,0,169,53,1907,55,677,129,11057,32,21004,4191,9,15,0,0,5263,168,165,4012,84,105,40,805,4876,29,3186,9724,7148,7,54,219,25,1062,92,792,36,2780,50,461,88,21,931,16,883,570,0,1363,3,815,50,1339,3,1149,3347,394,2249,2068,366,188,91,2874,1442,566,202,953,652,1831,2810,1056,728,1167,46,1036,380,3635,86,357,20,1436,3,1331,112,148,1122,279,709,285,3008,11,1339,32,475,109,2593,40,4265,12,2022,26,3022,25,63,16,1224,25,2179,135,31906,1237,2110,3473,129,1541,1223,2175,12,2569,85,745,1303,98,2280,15,2505,1200,35,4431,12,2070,378,1692,88,94,20,4169,4,5548,5890,4061,4977
hsa-let-7d-3p,301,24,26,20,31,0,38,81,60,194,31,0,2,176,18,17,0,27,15,137,0,160,44,159,121,74,15,62,16,23,1,67,81,25,17,22,46,834,45,0,62,0,9,1,62,114,48,31,0,0,5,0,30,107,595,14,47,40,0,0,12,0,141,163,58,49,19,1,61,0,68,146,156,0,64,115,117,15,134,207,0,48,112,563,0,76,19,4,289,0,38,1764,49,130,120,342,247,104,151,142,0,161,112,47,1,14,2,52,132,78,0,21,143,170,56,9,98,545,128,313,230,281,67,0,79,141,68,74,10,0,118,333,28,320,1,93,596,57,29,69,1,349,4,77,913,78,79,24,325,35,35,258,368,0,794,1,276,210,197,4,143,64,336,19,54,60,110,51,144,41,0,41,179,62,171,154,149,598,156,102,105,7,101,18,28,6,227,0,109,278,322,1123,1024,84,326,114,621,201,643,679,222,94,0,54,14,361,0,156,338,480,1691,118,3,429,56,26,15,133,263,144,0,30,129,11,22,87,64,106,53,50,15,367,162,0,46,2,654,388,0,113,107,0,540,246,3,91,59,0,88,102,869,1679,11,97,213,0,3,82,72,18,41,17,216,37,424,164,0,11,0,0,189,32,8,61,25,2,6,78,157,8,55,161,48,0,6,3,88,9,9,14,0,82,57,17,9,5,348,0,98,25,0,38,0,568,239,42,0,490,87,223,100,80,36,2,19,66,547,3,16,7,134,56,246,33,22,14,6,22,76,81,192,74,1,3,8,13,197,9,21,35,11,275,177,34,3,23,19,30,111,14,56,75,99,10,129,4,2,17,7,5,30,15,32,122,8,43,55,121,111,193,18,69,187,28,54,22,43,0,69,54,98,117,6,75,75,45,345,4,0,195,0,390,224,98,111
hsa-let-7d-5p,249,88,37,2,170,0,153,142,76,856,311,0,5,171,24,61,0,88,58,291,1,137,381,160,271,118,53,182,41,93,0,273,33,129,110,71,146,459,156,0,156,2,16,0,201,76,140,73,8,1,25,0,169,299,541,48,57,47,4,0,25,0,238,102,174,11,28,0,78,3,197,169,291,0,78,194,105,9,215,451,0,194,246,906,0,73,9,5,204,37,55,1509,40,1,322,321,272,162,291,372,7,153,16,45,21,71,0,111,111,110,0,32,356,101,49,0,142,65,236,535,390,238,156,19,71,95,122,84,11,0,110,343,50,325,0,47,419,66,111,50,0,232,3,173,204,83,184,2,340,17,50,41,523,0,625,2,383,130,1118,10,284,2,283,16,82,84,443,55,39,81,3,73,47,71,134,169,79,350,123,204,114,4,145,37,14,19,150,4,230,235,547,839,1033,61,423,117,297,166,210,741,82,58,0,140,4,316,2,40,422,644,501,412,2,945,81,65,35,167,235,328,0,16,391,6,19,75,34,98,74,89,119,911,97,0,31,0,338,276,0,141,73,73,475,490,9,110,3,0,269,91,485,530,27,83,459,0,2,45,41,18,35,107,336,24,984,175,0,14,0,1,599,145,77,184,19,70,13,245,54,0,148,522,126,0,38,13,32,81,8,46,1,177,53,45,42,5,549,3,55,25,0,43,0,606,244,196,0,429,364,208,192,94,73,21,47,98,411,5,69,48,288,160,271,39,17,35,25,25,323,194,42,9,12,27,6,82,108,68,68,115,29,773,177,4,47,14,16,137,50,45,214,43,181,10,150,21,34,1,25,21,73,88,901,32,31,105,266,179,56,121,11,229,58,25,55,38,84,4,118,44,141,245,0,223,118,142,101,21,8,192,0,344,238,215,257
hsa-let-7e-3p,10,0,1,0,1,0,0,0,3,0,5,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,1,5,0,3,0,7,0,2,0,1,0,0,2,0,0,0,0,0,4,2,2,0,0,0,1,0,0,4,1,0,2,0,0,0,0,0,6,0,3,0,0,0,2,0,2,0,1,0,4,0,3,0,7,0,0,1,0,26,0,1,1,0,7,0,4,37,1,0,12,14,0,5,1,3,0,7,0,5,0,0,0,0,0,1,0,0,1,0,0,0,4,1,4,3,7,5,4,0,2,1,5,2,0,0,0,27,0,15,0,1,0,4,0,2,0,21,0,2,3,0,4,0,16,0,3,0,15,0,41,0,10,0,20,0,5,0,29,0,2,2,0,2,1,2,0,0,0,2,1,7,0,28,6,0,8,0,5,0,5,0,4,0,28,0,17,28,46,0,9,3,11,11,0,43,2,3,0,1,0,12,0,2,0,24,19,4,0,24,3,0,0,0,0,4,0,0,3,2,0,1,0,0,0,3,0,25,1,0,0,0,2,18,0,15,2,0,80,28,0,1,0,0,1,0,33,12,0,1,7,0,0,0,5,0,3,0,15,0,48,7,0,0,0,0,0,0,2,6,0,0,0,0,3,0,1,4,1,0,0,0,0,1,0,0,0,2,0,5,0,2,0,0,0,2,0,1,0,8,0,1,0,4,0,0,3,4,0,0,0,2,12,0,0,0,0,0,1,4,0,0,0,0,0,5,0,1,0,1,0,0,1,0,0,0,0,0,8,0,0,0,1,0,2,0,4,0,5,0,3,0,0,0,2,0,2,0,3,0,0,3,0,3,2,5,0,1,0,1,2,0,0,0,3,1,0,7,0,2,0,2,0,0,0,3,0,8,10,3,2
